date,open,high,low,close,adj_close,volume,ci,ci14,ci20,ci14_diff,ci20_diff
2024-03-13,2694.7099609375,2701.449951171875,2679.5400390625,2693.570068359375,2693.570068359375,497200,147.0,71.0,80.0,54.47761194029851,57.563025210084035
2024-03-14,2698.3701171875,2718.760009765625,2696.31005859375,2718.760009765625,2718.760009765625,609300,202.0,79.0,85.0,56.71641791044777,58.82352941176471
2024-03-15,2701.909912109375,2705.590087890625,2666.840087890625,2666.840087890625,2666.840087890625,582100,71.0,77.0,84.0,57.276119402985074,59.03361344537815
2024-03-18,2678.52001953125,2688.070068359375,2665.280029296875,2685.840087890625,2685.840087890625,408200,64.0,78.0,82.0,57.649253731343286,60.08403361344538
2024-03-19,2673.570068359375,2673.570068359375,2645.139892578125,2656.169921875,2656.169921875,695900,-24.0,74.0,74.0,56.343283582089555,58.61344537815126
2024-03-20,2680.699951171875,2692.52001953125,2674.090087890625,2690.139892578125,2690.139892578125,720500,82.0,76.0,74.0,56.15671641791045,59.87394957983194
2024-03-21,2731.179931640625,2755.449951171875,2724.25,2754.860107421875,2754.860107421875,823700,251.0,92.0,82.0,58.95522388059702,63.23529411764706
2024-03-22,2751.14990234375,2763.06005859375,2738.179931640625,2748.56005859375,2748.56005859375,509500,217.0,100.0,88.0,61.38059701492538,65.33613445378151
2024-03-25,2756.590087890625,2763.6298828125,2731.699951171875,2737.570068359375,2737.570068359375,489600,166.0,107.0,92.0,65.29850746268657,66.38655462184875
2024-03-26,2756.419921875,2779.39990234375,2752.27001953125,2757.090087890625,2757.090087890625,448300,173.0,119.0,98.0,68.65671641791045,66.80672268907563
2024-03-27,2745.0,2762.030029296875,2745.0,2755.110107421875,2755.110107421875,510600,129.0,127.0,102.0,70.5223880597015,66.38655462184875
2024-03-28,2753.219970703125,2756.860107421875,2742.679931640625,2745.820068359375,2745.820068359375,419300,102.0,125.0,105.0,70.1492537313433,65.54621848739495
2024-03-29,2757.27001953125,2757.550048828125,2739.1201171875,2746.6298828125,2746.6298828125,495500,88.0,126.0,108.0,71.08208955223881,63.865546218487395
2024-04-01,2766.239990234375,2769.8701171875,2747.39990234375,2747.860107421875,2747.860107421875,397600,89.0,126.0,107.0,73.32089552238807,63.865546218487395
2024-04-02,2744.14990234375,2760.330078125,2737.18994140625,2753.159912109375,2753.159912109375,630400,72.0,120.0,107.0,73.50746268656717,67.22689075630252
2024-04-03,2730.679931640625,2732.2900390625,2706.969970703125,2706.969970703125,2706.969970703125,640800,6.0,106.0,108.0,70.5223880597015,68.4873949579832
2024-04-04,2738.239990234375,2746.389892578125,2727.10009765625,2742.0,2742.0,478000,44.0,104.0,109.0,69.21641791044777,68.90756302521008
2024-04-05,2713.9599609375,2730.469970703125,2705.31005859375,2714.2099609375,2714.2099609375,621000,-5.0,99.0,102.0,67.16417910447761,67.85714285714286
2024-04-08,2718.760009765625,2725.580078125,2706.739990234375,2717.64990234375,2717.64990234375,620700,-11.0,100.0,98.0,67.16417910447761,68.90756302521008
2024-04-09,2733.22998046875,2741.22998046875,2703.9599609375,2705.159912109375,2705.159912109375,470200,-17.0,93.0,92.0,66.6044776119403,70.37815126050421
2024-04-11,2665.39990234375,2718.070068359375,2661.919921875,2706.9599609375,2706.9599609375,561300,-72.0,70.0,81.0,63.61940298507463,70.37815126050421
2024-04-12,2710.889892578125,2712.449951171875,2678.2099609375,2681.820068359375,2681.820068359375,513700,-78.0,49.0,67.0,60.63432835820896,68.4873949579832
2024-04-15,2661.360107421875,2673.260009765625,2641.159912109375,2670.429931640625,2670.429931640625,562000,-143.0,27.0,57.0,58.0223880597015,67.01680672268907
2024-04-16,2644.169921875,2647.60009765625,2601.449951171875,2609.6298828125,2609.6298828125,570200,-213.0,-1.0,43.0,54.47761194029851,64.28571428571429
2024-04-17,2619.14990234375,2626.6298828125,2584.179931640625,2584.179931640625,2584.179931640625,414300,-228.0,-26.0,33.0,51.865671641791046,63.02521008403362
2024-04-18,2595.4599609375,2642.030029296875,2593.260009765625,2634.699951171875,2634.699951171875,478800,-154.0,-44.0,21.0,50.37313432835821,60.92436974789916
2024-04-19,2600.68994140625,2609.89990234375,2553.550048828125,2591.860107421875,2591.860107421875,809500,-174.0,-63.0,-0.0,48.69402985074627,55.88235294117647
2024-04-22,2615.719970703125,2629.43994140625,2604.3701171875,2629.43994140625,2629.43994140625,401900,-105.0,-77.0,-17.0,45.149253731343286,51.260504201680675
2024-04-23,2632.14990234375,2641.780029296875,2619.719970703125,2623.02001953125,2623.02001953125,430300,-84.0,-88.0,-29.0,41.417910447761194,48.529411764705884
2024-04-24,2662.840087890625,2677.85009765625,2662.840087890625,2675.75,2675.75,325100,-21.0,-90.0,-39.0,39.365671641791046,45.168067226890756
2024-04-25,2646.800048828125,2656.510009765625,2628.6201171875,2628.6201171875,2628.6201171875,334100,-60.0,-98.0,-48.0,36.19402985074627,42.016806722689076
2024-04-26,2650.93994140625,2662.10009765625,2641.35009765625,2656.330078125,2656.330078125,450500,-34.0,-100.0,-55.0,34.701492537313435,39.91596638655462
2024-04-29,2675.4599609375,2687.43994140625,2665.2099609375,2687.43994140625,2687.43994140625,470500,9.0,-98.0,-59.0,33.3955223880597,39.075630252100844
2024-04-30,2693.219970703125,2710.22998046875,2687.2900390625,2692.06005859375,2692.06005859375,460100,42.0,-94.0,-61.0,31.343283582089555,37.60504201680672
2024-05-02,2679.0400390625,2692.469970703125,2678.840087890625,2683.64990234375,2683.64990234375,351100,30.0,-87.0,-63.0,29.1044776119403,35.294117647058826
2024-05-03,2704.31005859375,2705.260009765625,2676.6298828125,2676.6298828125,2676.6298828125,338600,36.0,-78.0,-62.0,26.865671641791046,34.03361344537815
2024-05-07,2718.169921875,2734.360107421875,2716.6201171875,2734.360107421875,2734.360107421875,532200,115.0,-60.0,-58.0,26.679104477611943,33.403361344537814
2024-05-08,2732.110107421875,2745.050048828125,2727.929931640625,2745.050048828125,2745.050048828125,436300,130.0,-36.0,-52.0,27.611940298507463,33.19327731092437
2024-05-09,2743.2900390625,2749.139892578125,2710.25,2712.139892578125,2712.139892578125,423800,100.0,-12.0,-46.0,29.1044776119403,32.773109243697476
2024-05-10,2737.949951171875,2743.580078125,2723.2099609375,2727.6298828125,2727.6298828125,586100,111.0,7.0,-40.0,30.037313432835823,31.932773109243698
2024-05-13,2735.199951171875,2738.3798828125,2713.919921875,2727.2099609375,2727.2099609375,625300,96.0,26.0,-31.0,31.343283582089555,30.46218487394958
2024-05-14,2732.97998046875,2735.820068359375,2722.739990234375,2730.340087890625,2730.340087890625,443300,94.0,40.0,-23.0,33.95522388059702,30.04201680672269
2024-05-16,2770.27001953125,2773.4599609375,2748.219970703125,2753.0,2753.0,521800,122.0,55.0,-9.0,37.5,32.14285714285714
2024-05-17,2751.469970703125,2752.169921875,2724.6201171875,2724.6201171875,2724.6201171875,575900,79.0,62.0,5.0,40.85820895522389,34.2436974789916
2024-05-20,2741.239990234375,2756.409912109375,2734.639892578125,2742.139892578125,2742.139892578125,582100,88.0,73.0,21.0,45.33582089552239,36.76470588235294
2024-05-21,2733.030029296875,2734.47998046875,2719.739990234375,2724.179931640625,2724.179931640625,560800,53.0,79.0,31.0,48.69402985074627,38.445378151260506
2024-05-22,2723.4599609375,2733.070068359375,2707.8701171875,2723.4599609375,2723.4599609375,484700,39.0,81.0,42.0,51.67910447761194,41.596638655462186
2024-05-23,2719.030029296875,2734.27001953125,2704.0,2721.81005859375,2721.81005859375,427400,30.0,80.0,49.0,53.73134328358209,44.32773109243698
2024-05-24,2693.64990234375,2696.989990234375,2681.169921875,2687.60009765625,2687.60009765625,501600,-50.0,74.0,50.0,54.85074626865672,46.00840336134454
2024-05-27,2697.159912109375,2725.080078125,2693.659912109375,2722.989990234375,2722.989990234375,556700,7.0,72.0,52.0,57.83582089552239,48.73949579831933
2024-05-28,2715.52001953125,2730.1201171875,2714.340087890625,2722.85009765625,2722.85009765625,441000,23.0,66.0,56.0,61.194029850746276,52.73109243697479
2024-05-29,2719.56005859375,2721.6298828125,2677.070068359375,2677.300048828125,2677.300048828125,439000,-94.0,50.0,53.0,62.126865671641795,54.831932773109244
2024-05-30,2666.6298828125,2666.6298828125,2635.43994140625,2635.43994140625,2635.43994140625,371900,-231.0,26.0,41.0,61.194029850746276,54.831932773109244
2024-05-31,2657.8701171875,2664.47998046875,2635.77001953125,2636.52001953125,2636.52001953125,613700,-191.0,5.0,29.0,60.44776119402985,54.831932773109244
2024-06-03,2657.81005859375,2690.72998046875,2657.81005859375,2682.52001953125,2682.52001953125,782300,-99.0,-9.0,23.0,61.56716417910448,56.09243697478992
2024-06-04,2668.72998046875,2679.469970703125,2659.429931640625,2662.10009765625,2662.10009765625,773500,-117.0,-24.0,15.0,61.194029850746276,57.35294117647059
2024-06-05,2681.110107421875,2697.429931640625,2667.6298828125,2689.5,2689.5,881500,-62.0,-38.0,6.0,59.701492537313435,58.19327731092437
2024-06-07,2718.25,2729.6298828125,2705.22998046875,2722.669921875,2722.669921875,783900,27.0,-41.0,1.0,60.07462686567165,59.66386554621849
2024-06-10,2698.7099609375,2718.889892578125,2689.18994140625,2701.169921875,2701.169921875,506900,-12.0,-48.0,-4.0,59.88805970149254,61.134453781512605
2024-06-11,2716.719970703125,2718.8798828125,2702.169921875,2705.320068359375,2705.320068359375,558900,6.0,-52.0,-10.0,59.701492537313435,61.97478991596639
2024-06-12,2709.64990234375,2730.300048828125,2707.43994140625,2728.169921875,2728.169921875,511000,43.0,-51.0,-12.0,60.26119402985075,64.28571428571429
2024-06-13,2764.179931640625,2776.719970703125,2752.610107421875,2754.889892578125,2754.889892578125,700000,138.0,-44.0,-10.0,61.94029850746269,66.38655462184875
2024-06-14,2759.219970703125,2769.159912109375,2750.860107421875,2758.419921875,2758.419921875,645000,133.0,-31.0,-10.0,64.73880597014926,67.43697478991596
2024-06-17,2754.830078125,2759.860107421875,2741.030029296875,2744.10009765625,2744.10009765625,594000,100.0,-24.0,-8.0,66.23134328358209,68.69747899159664
2024-06-18,2765.699951171875,2772.35009765625,2759.030029296875,2763.919921875,2763.919921875,561500,135.0,-16.0,-6.0,66.7910447761194,69.74789915966386
2024-06-19,0.0,0.0,0.0,2797.330078125,2797.330078125,0,-667.0,-57.0,-42.0,58.3955223880597,62.39495798319328
